iter	Passed	Remaining
400	10204	2519
401	10311	2513
402	10352	2491
403	10392	2469
404	10419	2444
405	10437	2416
406	10476	2393
407	10506	2369
408	10520	2340
409	10549	2315
410	10570	2288
411	10599	2263
412	10615	2236
413	10645	2211
414	10661	2183
415	10674	2155
416	10686	2127
417	10702	2099
418	10721	2072
419	10733	2044
420	10743	2016
421	10752	1987
422	10762	1959
423	10773	1931
424	10786	1903
425	10798	1875
426	10810	1848
427	10820	1820
428	10831	1792
429	10842	1765
430	10855	1737
431	10867	1710
432	10877	1683
433	10888	1655
434	10900	1628
435	10911	1601
436	10925	1575
437	10938	1548
438	10951	1521
439	10966	1495
440	10979	1468
441	10994	1442
442	11010	1416
443	11023	1390
444	11036	1364
445	11048	1337
446	11063	1311
447	11072	1285
448	11084	1258
449	11093	1232
450	11103	1206
451	11115	1180
452	11127	1154
453	11138	1128
454	11147	1102
455	11158	1076
456	11168	1050
457	11181	1025
458	11192	999
459	11202	974
460	11217	948
461	11233	923
462	11247	898
463	11256	873
464	11267	848
465	11276	822
466	11285	797
467	11295	772
468	11309	747
469	11319	722
470	11330	697
471	11342	672
472	11366	648
473	11380	624
474	11395	599
475	11407	575
476	11421	550
477	11434	526
478	11443	501
479	11451	477
480	11458	452
481	11464	428
482	11470	403
483	11476	379
484	11481	355
485	11488	330
486	11495	306
487	11500	282
488	11506	258
489	11513	234
490	11521	211
491	11528	187
492	11534	163
493	11540	140
494	11546	116
495	11553	93
496	11561	69
497	11567	46
498	11573	23
499	11579	0
1
496	12605	76
497	12618	50
498	12633	25
499	12646	0
6	650
481	16470	615
482	16486	580
483	16502	545
484	16518	510
485	16532	476
486	16546	441
487	16560	407
488	16573	372
489	16591	338
490	16609	304
491	16625	270
492	16643	236
493	16660	202
494	16674	168
495	16687	134
496	16705	100
497	16722	67
498	16740	33
499	16755	0
99	19173	0
