iter	RMSE
142	27.59723419
143	27.55968623
144	27.52991749
145	27.47328461
146	27.4379729
147	27.40338057
148	27.36644134
149	27.33309374
150	27.30084987
151	27.26716915
152	27.23284759
153	27.19290436
154	27.13168699
155	27.09139318
156	27.05874624
157	27.00523291
158	26.96453791
159	26.92746982
160	26.89147833
161	26.85986983
162	26.82638659
163	26.7763558
164	26.73804895
165	26.70434072
166	26.66221343
167	26.62910374
168	26.59427528
169	26.5538664
170	26.52397712
171	26.48735662
172	26.4582333
173	26.42597273
174	26.39220081
175	26.34728424
176	26.3181632
177	26.2866385
178	26.25622028
179	26.23145981
180	26.20258975
181	26.15219506
182	26.10983171
183	26.07575628
184	26.04906178
185	26.01595419
186	25.98430459
187	25.95520517
188	25.92702711
189	25.90231379
190	25.86862237
191	25.84117919
192	25.80589195
193	25.776962
194	25.75064379
195	25.72576266
196	25.70048406
197	25.67621672
198	25.65042226
199	25.62803276
200	25.58020899
201	25.54960857
202	25.51697456
203	25.49160369
204	25.44882176
205	25.4175309
206	25.38690981
207	25.35851068
208	25.33141918
209	25.30649347
210	25.28175423
211	25.25090855
212	25.22692841
213	25.19319334
214	25.17003905
215	25.14404955
216	25.10956644
217	25.08656085
218	25.06220197
219	25.02257552
220	24.99234012
221	24.96434894
222	24.93911924
223	24.91833776
224	24.89566495
225	24.86232133
226	24.83764256
227	24.81430506
228	24.79134134
229	24.76057354
230	24.71170542
231	24.68993766
232	24.64703486
233	24.62660056
234	24.59212845
235	24.54474968
236	24.52247992
237	24.49327
238	24.47257189
239	24.44526327
240	24.42035764
241	24.3931981
242	24.3690457
243	24.34383913
244	24.32123286
245	24.29865111
246	24.27262974
247	24.25296444
248	24.22899235
249	24.20873217
250	24.18471644
251	24.1608221
252	24.14063007
253	24.11940805
254	24.09230719
255	24.07003037
256	24.04570236
257	24.02127763
258	23.99694318
259	23.97564138
260	23.95624813
261	23.93752932
262	23.90267474
263	23.88280662
264	23.85781518
265	23.83777995
266	23.80969307
267	23.78500596
268	23.76104213
269	23.74184494
270	23.71784675
271	23.68616871
272	23.66576265
273	23.62689013
274	23.60991315
275	23.58233084
276	23.56492142
277	23.53915133
278	23.51796561
279	23.49237273
280	23.46079654
281	23.4403202
282	23.40956537
283	23.38902581
284	23.37104375
285	23.35340406
286	23.33405239
287	23.30793087
288	23.28764811
289	23.25928223
290	23.23948892
291	23.2183247
292	23.19292676
293	23.17436025
294	23.15627653
295	23.13645748
296	23.11568172
297	23.09811429
298	23.06568133
299	23.05059178
300	23.02804191
301	23.01195134
302	22.99484777
303	22.97631965
304	22.94572186
305	22.92634794
306	22.90576694
307	22.88659087
308	22.86860343
309	22.84327106
310	22.82499236
311	22.79009058
312	22.76741155
313	22.74247983
314	22.72600771
315	22.70970842
316	22.68131989
317	22.66360103
318	22.64674861
319	22.62986779
320	22.61523341
321	22.59391101
322	22.58025472
323	22.55341924
324	22.53721035
325	22.5208644
326	22.5026212
327	22.47428712
328	22.45221622
329	22.4361351
330	22.41834364
331	22.401835
332	22.38646943
333	22.36659611
334	22.35107005
335	22.33486046
336	22.32055949
337	22.30099198
338	22.27389596
339	22.25912585
340	22.24205378
341	22.22634849
342	22.21133289
343	22.19476442
344	22.17445979
345	22.15769467
346	22.14198463
347	22.11338707
348	22.08637439
349	22.06961955
350	22.04810427
351	22.03067003
352	22.00243652
353	21.98776017
354	21.96100479
355	21.94298918
356	21.91960731
357	21.88192212
358	21.85359661
359	21.83819075
360	21.82454688
361	21.81105659
362	21.79756174
363	21.77919709
364	21.75562906
365	21.74078279
366	21.72779531
367	21.71409405
368	21.69564087
369	21.66910257
370	21.65039394
371	21.62611145
372	21.6125752
373	21.5989288
374	21.5852771
375	21.56853695
376	21.55001031
377	21.5361322
378	21.52362262
379	21.49803514
380	21.48384145
381	21.46015852
382	21.43935662
383	21.42074934
384	21.40514474
385	21.39116645
386	21.37440839
387	21.35968773
388	21.34634711
389	21.31954699
390	21.30615089
391	21.29390759
392	21.27429982
393	21.26154432
394	21.23848185
395	21.22418472
396	21.2025527
397	21.18476389
398	21.16854928
399	21.15359217
400	21.13455072
401	21.11861134
402	21.1020011
403	21.08364984
404	21.07183004
405	21.05085018
406	21.03623923
407	21.01813812
408	21.0052157
409	20.99192465
410	20.97999356
411	20.96226537
412	20.9439598
413	20.93246072
414	20.91876982
415	20.90653711
416	20.88087848
417	20.86991126
418	20.84270429
419	20.83086314
420	20.81219047
421	20.78841546
422	20.76994838
423	20.74973687
424	20.7361036
425	20.71811682
426	20.69913859
427	20.6882104
428	20.67017186
429	20.65346056
430	20.63032291
431	20.61781972
432	20.59349236
433	20.57361221
434	20.55425636
435	20.53904085
436	20.52540265
437	20.50322883
438	20.48190076
439	20.46946094
440	20.44981685
441	20.43594744
442	20.42329103
443	20.41066807
444	20.39800867
445	20.38659029
446	20.37152006
447	20.35111213
448	20.33722047
449	20.31851304
450	20.3076577
451	20.29451868
452	20.27732907
453	20.26463915
454	20.2526432
455	20.24142261
456	20.22895134
457	20.21555978
458	20.2050857
459	20.19476062
460	20.17836289
461	20.16663475
462	20.143498
463	20.12363302
464	20.11284055
465	20.10135164
466	20.07866813
467	20.06670555
468	20.03752354
469	20.01953382
470	19.9973382
471	19.98149211
472	19.96379777
473	19.94996727
474	19.93361504
475	19.91659168
476	19.90387462
477	19.88964864
478	19.87696759
479	19.86423935
480	19.84890787
481	19.83591332
482	19.82250571
483	19.80403168
484	19.79419259
485	19.77583043
486	19.76573445
487	19.75230258
488	19.73754347
489	19.7261302
490	19.71352014
491	19.6995699
492	19.68878439
493	19.67460995
494	19.65103562
495	19.63894711
496	19.62157177
497	19.61120174
498	19.58925206
499	19.57656607
9.58169762
